RetailerName,Brand,AverageSales1,Standard Deviation1,LCLmean-sigma1,UCLmean+sigma1,Min of Calendar Year Num
Kroger - Ralph's,SHEER BLONDE,22557.54658328692,2165.229413136525,20392.317170150396,24722.775996423443,2019
Kroger - Ralph's,VOLUME,9263.445982587338,10531.188654924817,-1267.7426723374792,19794.634637512157,2019
Rite Aid,,26269.8,1855.638765133637,24414.161234866362,28125.438765133636,2019
Rite Aid,BAN,9979.066666666668,1315.4679505365657,8663.598716130102,11294.534617203233,2019
Rite Aid,BEACH BLONDE,24.466666666666665,9.429504523332897,15.037162143333768,33.89617118999956,2019
Rite Aid,BIORE,61335.53333333333,6868.583452859044,54466.94988047429,68204.11678619238,2019
Rite Aid,BRILLIANT BRUNETTE,441.46666666666664,434.08998555087123,7.376681115795407,875.5566522175379,2019
Rite Aid,CUREL,26111,5957.196443518268,20153.803556481733,32068.196443518267,2019
Rite Aid,FRIZZ EASE,40724.26666666667,2715.9510173949307,38008.31564927174,43440.2176840616,2019
Rite Aid,FULL REPAIR,1.5,2.598076211353316,-1.098076211353316,4.098076211353316,2019
Rite Aid,JERGENS,107439.73333333334,22654.852049738827,84784.88128359451,130094.58538307216,2019
Rite Aid,JOHN FRIEDA COLOUR,1.9333333333333333,5.259488779550939,-3.326155446217605,7.192822112884272,2019
Rite Aid,PRECISION FOAM COLOR,-1.1333333333333333,7.08864506721058,-8.221978400543913,5.955311733877247,2019
Rite Aid,RADIANT RED,-0.3333333333333333,3.3796778281697537,-3.713011161503087,3.0463444948364202,2019
Rite Aid,SHEER BLONDE,19304.733333333334,1576.6741564303945,17728.059176902938,20881.40748976373,2019
Rite Aid,VOLUME,4804.2,266.06796124299495,4538.132038757005,5070.267961242995,2019
Target Stores,,416394.4,33523.09370926252,382871.3062907375,449917.4937092625,2019
Target Stores,BAN,30.8,41.88110154552607,-11.08110154552607,72.68110154552608,2019
Target Stores,BEACH BLONDE,9396.333333333334,1699.5199191405623,7696.813414192771,11095.853252473897,2019
Target Stores,BIORE,248311.33333333334,15168.12166647136,233143.211666862,263479.45499980473,2019
Target Stores,BRILLIANT BRUNETTE,39313.86666666667,1838.2125690161024,37475.654097650564,41152.07923568277,2019
Target Stores,CUREL,117881.46666666666,9200.869928919155,108680.5967377475,127082.33659558582,2019
Target Stores,FRIZZ EASE,150313.4,10375.40499322,139937.99500678,160688.80499322,2019
Target Stores,FULL REPAIR,0.2,0.6,-0.39999999999999997,0.8,2019
Target Stores,JERGENS,579856,125568.82852576635,454287.1714742336,705424.8285257664,2019
Target Stores,JOHN FRIEDA COLOUR,-0.13333333333333333,5.426683046658326,-5.5600163799916595,5.293349713324992,2019
Target Stores,PRECISION FOAM COLOR,52532.2,4594.529126399509,47937.67087360049,57126.72912639951,2019
Target Stores,RADIANT RED,18335.333333333332,915.4718758954696,17419.861457437863,19250.8052092288,2019
Target Stores,ROOT AWAKENING,-0.13333333333333333,0.49888765156985887,-0.6322209849031922,0.3655543182365255,2019
Target Stores,SHEER BLONDE,81085.4,9407.002432939757,71678.39756706024,90492.40243293975,2019
Target Stores,VOLUME,31516.533333333333,3005.295390177527,28511.237943155807,34521.82872351086,2019
Ulta,,5889.714285714285,2320.750784569864,3568.963501144421,8210.46507028415,2019
Ulta,BAN,0,0,0,0,2019
Ulta,BEACH BLONDE,0.9285714285714286,2.0861545523586047,-1.157583123787176,3.0147259809300335,2019
